Total Depth,Central Tank Battery,fluid_gal,fluid_gal_per_ft,propp_lbs,propp_lbs_per_ft,max_treat_press,max_treat_rate,cum_oil_365
12009,119757,932484,225,1863599,449,6651,31.8,14655
18975,119773,756084,90,3488337,417,7827,38,87141
19520,119774,2694846,293,2874767,313,8928,38.5,71305
11820,119947,459858,3930,696649,5953.5,5293.5,17.95,23393
13466,120032,2821854,598,2903340,615,6727,43.9,63348
18499,120076,2719836,300,4267169,470,7077,24.4,84847
12520,120110,834624,216,1686920,438,6302,26,35612
18335,120126,2301558,260,3808254,431,7347,27.2,86274
13927,120196,2267748,441,3104100,604,5373,31.7,25841
14270,120237,20112,4,2875900,614,5939,39.9,32147
12520,120268,802536,193,1696800,409,4888,24.4,30711
18840,120310,2649024,361,3162530,432,8074,35.6,69847
14113,120317,2452758,463,2487740,470,8583,45.5,34891
13772,120364,824920,168,1114677,227,7131,29.4,24491
13758,120389,2522016,403,2790110,446,5526,52.7,22407
13640,120527,1056636,198,1681417,316,6500,20,40552
19135,120648,2510508,263,3526935,369,5690,31,61636
14368,120657,1958376,457,2791860,651,6501,49,45224
15891,120662,1537788,238,4999386,774,6399,26.8,46404
16458,120663,1808352,266,3206697,472,6840,26.4,91357
13575,120722,2756802,616,2794770,625,7159,46.7,55810
15498,120726,1414854,218,2828786,436,4883,26.2,52755
16676,120727,1796550,233,3367183,437,7165,26.5,70329
13864,120743,2629914,636,2753370,666,6896,48,43994
14250,120779,2667210,507,2834118,539,7355,35.5,36011
19215,120859,2499000,273,2841107,310,8262,37.1,37601
15126,120865,2847138,535,912126,171,5187,40.5,17972
19325,121026,2571996,262,3451905,352,6708,31,78402
18150,121050,1146306,124,2000200,216,6597,27,56967
18800,121051,1245678,126,2013600,204,6684,27.1,39565
14432,121089,2648604,490,2636660,488,5760,40.8,26189
18639,121103,1080072,471,1266327,552,9787,39.6,27336
18850,221345,2662044,273,4335120,446,9448,39.7,108472
18556,121355,2103486,220,3800553,398,9264,27,46389
19401,121368,2615970,262,3523138,354,5940,31,61068
13230,121423,2434447,752,2625619,811,7042,35.9,44286
18044,121430,2115792,239,3623554,410,6423,25.7,77641
13900,121448,2288540,499,2375413,518,8527,45.4,53873
18149,121500,1474620,156,1985900,211,6630,25.2,50450
18564,121501,874944,88,996601,101,6734,20.3,22986
12952,121531,2039478,486,2260338,539,9544,34.8,34173
19085,121572,2481738,256,3489258,360,6250,31,63920
12975,121619,2219532,506,2196001,500,6383,45.8,35977
18406,121628,2389884,88514,2975300,110196,7020,31.1,59910
12390,121637,1033200,216,1933000,405,6878,22.3,45151
18569,221661,2845248,305,5300536,569,7244,35.5,44821
18590,121671,2825340,297,5195817,547,8979,37.4,45085
18680,121679,2498580,257,3527106,363,5597,31,50448
18876,121745,2744952,283,4306763,444,9000,39.9,89404
19269,121854,2232132,231,3503060,363,6580,30,65213
18240,121858,2182194,66127,3090170,93641,4599,31.7,39040
19198,121997,2607780,289,3305700,367,9108,36.3,83892
18950,121998,2580060,286,3330014,369,8832,39.3,74978
19448,121999,2299500,245,2884201,308,9207,37.3,57980
18860,122000,2778426,289,4479962,467,9543,46.9,88479
18955,122009,2170644,258,2537367,302,7974,37,59726
19065,122010,2279634,254,2515579,280,9139,42,69179
19365,122011,2364474,250,2910499,307,9014,41.2,72234
17493,122012,1762950,179,3209830,326,5532,22.3,46663
17720,122013,1790586,191,3202623,342,6246,25.4,75892
18800,122017,2770488,288,5309190,553,6980,37.6,41870
18782,122030,2577918,277,2384415,256,6936,30,97505
17988,122032,1315440,140,1958826,208,6875,33.1,28170
18914,122038,3016482,314,5294789,551,7610,37.5,69497
17635,122042,2115498,221,3762701,393,6638,20.2,17469
18650,222045,2728740,283,5307056,552,7126,34.1,69898
19115,122075,2655030,325,3804371,466,7402,31,74712
17379,122076,1970220,211,3516531,378,6225,20.8,28289
13163,122078,121343,21,2258820,406,5623,26,23741
18831,122087,2250444,234,3960554,413,8215,36.1,75979
18730,122101,2606604,300,2866280,330,9012,36.8,48214
18611,122102,2327472,274,2894032,340,8834,37.1,84401
19165,122103,2593500,281,3060820,331,9344,36.9,108745
19305,122110,2386692,255,2793800,299,9187,38.7,50521
19237,122111,2388498,261,2821100,308,8386,39.3,67046
19218,122112,2353596,254,2821100,305,8859,36.6,67378
17073,122147,1077300,112,1521860,159,7530,26,21368
19020,122152,2738106,291,2885000,306,9200,38,97132
17515,122177,21293874,2531,1652560,196,6074,58.8,15680
19200,122179,3303300,331,5278970,529,9514,46.3,71773
19032,122182,2532096,267,3619060,382,6020,31,80265
17391,122183,2162916,272,2194918,276,7750,61,65669
13921,122188,1180662,257,1823200,397,5360,31,42736
18920,122217,3349164,356,4712170,501,6860,31,61869
18897,222252,1441314,150,2177309,227,6416,32.1,26621
12750,122258,822696,195,1124880,267,5358,25.9,16983
17038,122262,2458008,295,2162180,259,6133,51,46911
18680,122324,2869776,302,4487383,472,7196,35.7,52696
18400,122400,2372748,253,3596487,383,9852,37,40295
18628,222406,2008608,210,2835685,297,6028,23.6,65719
17900,122519,2419956,280,2094358,242,6028,56.4,19580
17393,122524,20732,2,895522,94,6140,22,16109
17746,122525,2592786,262,3549534,359,6511,20.1,43734
19835,122547,2406684,236,3505683,344,6230,31,78767
19717,122549,2472708,243,3746070,368,6150,31,76713
18435,122572,1228206,122,2069410,206,6715,15.4,41136
17887,122573,1203426,125,1944414,202,4646,15.6,35999
19230,122596,2298492,227,3964104,392,8131,36.4,67203
18829,122633,2740668,289,3999640,421,9215,37.7,56858
18329,122716,856338,85,1022335,102,6740,15.4,16390
18310,122776,1852116,185,2692892,269,6381,25.3,39659
17555,122777,2125872,233,3115613,342,5921,35.4,33910
18800,122927,1948632,205,3084650,324,5710,31,53959
18700,123046,2806692,297,4459639,472,10302,33,50696
18278,123326,1717086,173,2835522,286,5984,25.4,47678
18760,123392,2663934,277,4371928,455,10046,34.9,56838
19459,123475,2620296,259,3938532,390,6508,42.2,42628
18982,123515,2503746,281,3327270,373,9290,37.2,109640
19198,123516,2016168,220,3530320,386,8126,36.4,91646
18850,123585,2784096,293,4128800,434,9093,38.2,54286
19194,222045,2798922,277,4444262,440,6438,29.9,44680
19260,123781,8726886,941,4157000,448,8972,78,43224
19335,123800,3842370,422,5353470,588,8433,38.6,54797
18833,123914,2084880,215,2845849,294,8298,31.6,95803
18450,123989,2128476,226,3339649,354,8540,21.5,45361
18912,124126,2659230,283,4275576,456,6891,27.3,48867
19548,124138,2616012,264,4331840,437,7144,26.5,67211
19110,124509,1789452,178,2538684,253,6555,21.5,48330
19088,124772,2424618,263,3200256,348,9256,37.8,54013
18951,124968,2477664,258,4149884,432,8452,26.3,57092
19110,224995,2458050,255,4301360,446,6601,24.4,44022
19035,125046,2463468,254,5389755,556,7030,22.2,50848
18820,225124,2375604,243,4309688,441,6305,31.3,65656
18770,225124,2338518,237,4298374,437,5662,39.7,21024
1860,225124,2276232,218,4190750,402,6939,30.3,45149
18890,225124,2395050,245,4317005,442,6620,33,25060
18935,125239,2540748,262,4369790,452,5854,23,59085
18561,222406,2455908,259,4300410,453,9502,31,46873
19170,125520,2642976,272,4373724,451,8960,24.7,30220
19640,221345,2222850,217,3180521,311,9500,26.8,32221
19345,221345,1850268,184,3162159,315,9815,25.6,63368
19285,126034,2546334,258,4358260,442,8642,24.1,55817
19235,224995,2509248,259,5385996,558,7735,28.1,36272
19039,126182,2831472,292,4282840,441,9039,32.2,46383
19335,126233,2372034,259,3199698,349,9399,36.2,28095
18617,117418,646140,64,544740,53,7500,50,53686
18520,117473,2198700,229,3137938,327,5890,45,60221
18594,117587,1266720,147,1964290,228,8500,41,66426
18580,117649,601200,66,651420,71,7000,50,73075
18331,117651,2143470,224,3051950,319,6360,41,53670
13960,117692,838110,159,1781000,338,8279,27.6,27999
16919,118215,360281.6203,88.76111686,546980.75,123.144433,8013.672389,41.22494312,80839
14375,118255,863077,154,1773354,317,5481,21,71517
18715,118259,1141372,125,2032260,222,7500,50,100811
14613,118280,816833,141,15891,2,10830,119.6,17675
18730,118321,1383144,136,1818836,179,8500,40,82155
17738,221996,1886493,202,1889545,203,6250,73.6,100758
18501,118370,1390515,151,1972530,215,7500,50,42968
13718,217396,1271428,250,22439,4,12132,30.5,56015
17807,118429,1771350,196,3220750,357,7175,32.7,75519
18837,118445,523488,193,499073,184,6996,40.2,71415
18624,118467,499968,55,2097610,232,8500,40,122045
18955,118485,1388058,151,1827645,199,8500,40,39689
18404,118489,1603221,176,1941750,213,8500,50,72905
18510,118557,1772862,194,1837530,201,8500,41,49219
14600,118561,1191960,212,2300840,410,2721,27.6,29228
18463,118586,1811670,198,2300420,251,8500,41,71507
18708,118598,1737246,192,1763580,195,8500,40,56104
13843,118659,1010267,222,2083250,458,6582,30.3,48965
18006,118663,1458030,151,1237009,128,5597,50.8,91818
18642,118683,1860978,197,2170640,230,8500,41,87156
14265,118728,1296204,240,2387477,442,5211,27.8,41152
17772,118757,1362816,146,1398820,150,6712,40.4,47337
14790,118781,1350594,241,406408,72,6342,28.1,52780
19030,118785,2010750,214,2813140,300,8000,41,108327
18986,118788,1889790,182,2664620,256,6360,45.6,79090
18629,118789,1834098,202,2135750,236,8500,41,48156
18940,118818,43459,4,2303870,246,8500,40,71325
18935,118835,1835484,193,2390890,252,8500,41,59093
14304,118854,1247400,228,414874,76,8510,24.2,31639
18632,118864,1846530,202,2346536,256,8500,41,51169
18068,218874,1392972,144,1305600,135,6450,51.4,70596
18522,118879,1844262,201,2500880,273,8420,41.5,56423
18990,118883,1882692,198,2323900,245,8500,40,112057
18240,118895,1377306,153,2246769,250,6510,32,90121
14752,118900,1418550,250,1503060,265,9077,49,37812
19122,118904,2215878,219,3021780,299,7570,47,75708
18900,118907,1869588,197,2427900,255,8000,40,40457
14280,118910,1282974,215,2271711,382,5889,27,20424
19072,118934,2444316,249,3091800,315,8500,41,92153
