Total Depth,Central Tank Battery,fluid_gal,fluid_gal_per_ft,propp_lbs,propp_lbs_per_ft,max_treat_press,max_treat_rate,cum_oil_365
20789,122479,1736826,188,2029941,220,9025,30.8,92373
21283,122480,1936284,9,1998764,10,8880,32.4,97377
20480,218343,2010036,215,1570570,168,8026,50.2,156722
19455,122559,1381674,171,967863,120,8304,34.7,53454
20900,222560,2918958,317,3253500,353,9197,38,103535
20820,222560,2783634,302,3122940,339,9302,36.8,87781
20653,222560,2483628,272,3103000,341,9034,37.2,104547
20215,122576,1726074,192,1275772,142,8154,50.6,42060
20680,122584,2622900,296,3747904,423,8425,31.3,73309
20318,122590,2041620,231,1665744,188,54,8663,85879
20160,122604,1959972,222,2221973,252,4111,30.5,39629
19663,222649,2385234,267,3183123,357,8607,48,89726
19469,222649,2475027,299,3432991,415,9001,53.8,71708
19042,222649,2493976,295,3452731,408,8108,50.2,86349
20025,122657,781536,86,2248720,249,8516,33.6,63610
20608,122658,828030,86,2355400,244,7711,38.7,96235
21400,122662,2489676,283,2751193,313,8550,32.8,79455
20458,122664,889035,96,3046640,329,9033,37.6,111572
20722,222665,1649883,174,9384700,995,9281,36.4,189341
20628,222665,1652026,174,9159200,969,8860,37.6,191164
20330,222845,1226148,131,2601810,279,7938,36.1,90988
20567,218343,2093700,229,1971794,215,7906,45.6,137208
20206,122678,1472478,185,1132833,142,7655,47.2,110161
21354,122726,1312954,131,2609720,260,8914,39.3,149447
15595,122727,421714,94,1368240,305,8384,36.7,87800
20617,222745,1399662,147,7191431,759,8556,36.3,154290
20838,222745,1296143,134,7211659,747,8514,35.9,127267
21023,122748,349479,35,2612460,262,8801,35.7,92789
20873,122773,2441208,255,1955477,205,8000,31,152765
20490,122786,812826,88,2220600,242,7293,33,53830
21461,122787,855624,87,2410000,247,7774,37.5,65710
21440,122798,1919400,192,2333048,234,8952,32,81615
21760,122799,1921878,188,2124310,207,9446,32,68590
20862,122800,1912512,205,2314650,249,8776,31,97717
21210,122802,2172954,225,2247447,233,8989,31,51692
20520,122803,1897854,211,2334965,260,8886,31,94173
22095,122804,2096136,198,2278984,216,9500,32,65891
20874,416647,1352912.517,235.8687628,2378027.792,391.6732741,8180.58601,38.06106175,94402
20765,416647,1228011.992,223.4443132,1514934.747,270.7484351,7386.945435,40,78158
19665,218977,2343390,276,3097989,364,8085,32.3,121449
15910,122828,1321672,251,1890326,359,8464,47.5,65645
20625,222845,946512,105,2044460,228,8251,34.6,90233
20470,222845,398874,185,449936,209,7761,28.8,65276
21175,222845,1276212,135,2432000,257,8210,35,65995
20647,122877,767802,81,1751040,184,7702,25.8,57112
20607,122878,4330410,477,4245500,468,8560,35.3,138179
19733,122881,2544108,280,1489380,164,8983,51.3,25673
15504,122884,882798,231,1019875,267,8397,30.4,41440
15716,122885,870408,218,960655,241,8599,30.5,44180
16248,122886,873642,191,974876,214,8595,28.4,41912
16389,122887,1027530,225,1199892,263,8196,28.4,46617
16281,122888,1137906,248,1257546,274,9114,30.5,50465
17205,122889,1092420,196,1197492,215,8155,30.6,51700
20550,122893,1827882,200,1286786,141,4961,40.8,91522
21235,122894,1661898,171,1249805,128,8838,36.5,91024
19828,122895,1766058,209,1262413,149,8045,41.4,92013
20285,122896,1580712,174,1228601,135,8705,42.1,111027
21100,218343,1961442,202,905823,93,8543,38.8,102254
20490,218343,1663746,188,879236,99,8529,36.2,117912
20415,122923,2040066,235,1866769,215,8378,30.4,109039
20396,122924,2064342,242,1600241,187,8934,31.7,81774
21285,122925,1682520,170,1795977,182,7965,42.2,99185
20214,122926,1875174,213,1207219,137,8292,41.3,109947
16281,221350,1604610,361,1283501,289,9414,33,93800
21454,416647,1095687.769,200.9462486,1832289.317,340.4647256,7932.098544,40.33930571,229747
21047,416647,855066.2779,236.9587463,1400395.31,382.3761235,7889.824153,38.56533764,179540
21030,416647,1499278.082,279.1124097,2270855.095,388.257881,7464.717515,40.37659542,171387
20710,222979,4140654,473,4390430,502,8520,36,84313
20191,222979,4140654,473,4390430,502,8520,36,134486
20645,222979,2866290,306,3981148,425,8495,35.1,138165
21480,122983,3508596,375,3349610,358,8882,41.1,134406
20836,122984,1584744,160,1310261,133,7520,50.2,42758
19973,122985,335202,36,261683,28,6973,37.7,13544
19802,122987,2289420,237,2854622,296,7994,30.6,116249
19640,123000,1165080,134,2333780,269,7865,35.2,28023
20888,223021,1999672,222,2911656,324,9000,50.8,185775
20191,123027,1876686,212,1192685,134,8284,45.3,134942
21460,123028,1864086,193,1191992,123,8172,50.9,121178
16154,123037,1243914,271,1531927,334,8786,31.5,56548
18879,123057,2283414,295,1846576,239,8023,41.4,52998
21185,123058,1978578,209,1879976,199,8157,30.3,107779
21400,123059,1993446,208,1882462,196,8968,30.5,80641
22158,123060,1679118,163,1874776,182,8943,30.8,100769
20906,223084,3814650,386,4194803,424,9436,35.9,170561
20497,223084,4125198,446,3242224,350,8951,37,138929
20467,223093,2997288,315,2781730,293,8656,40.8,128216
16950,223094,2100000,348,2240160,371,8473,40.3,110693
17221,223094,2091054,136,2297960,149,8257,40.3,101571
17680,223094,237930,35,2568540,379,8274,40.4,52913
19540,223093,2567628,296,3140455,362,8655,41.7,181870
19115,223094,1593144,196,2419720,298,7479,39.2,75850
20373,223094,1832586,182,2729200,272,8419,36.9,97033
20373,223094,1783656,191,2643400,283,7877,40.3,122147
19480,223094,1710912,200,2561100,300,7776,42.4,204154
19270,223094,1618512,196,2472360,299,8648,35.9,135792
20525,223106,817992,88,2295060,249,7782,38.4,50986
20941,223106,873138,92,2336200,246,7841,30.9,67410
20875,123123,3109176,336,3988211,431,8717,36.1,138264
21456,123124,3179568,321,4082350,413,8710,35.3,139325
21372,416647,918427.6293,229.1116774,1239389.375,316.5930645,7311.630623,38.64116995,170629
21061,416647,772609.7047,247.6499425,1145874.923,352.547641,7525.858113,39.06112773,110746
19945,416647,1343831.614,189.901279,1955489.482,270.3465228,7239.619105,39.9991207,133875
21255,123140,3406410,346,1889994,192,9228,51.3,56015
20548,123141,3269784,363,1924484,213,8356,46.4,77220
20177,123157,742938,81,2377360,260,7621,35,29807
22088,123162,864864,91,2508820,265,8071,36.9,131881
20464,123166,965335,96,2610860,261,8816,40.5,133611
20481,123169,2185040,226,3244146,335,8908,52.5,91074
14934,220044,1341643,333,1864112,463,7691,50,75338
20948,223213,2222976,227,2666843,272,8019,30.7,115159
21098,223213,2304792,229,2820474,281,8422,30.7,131643
20500,123223,3766518,413,3409197,374,8529,39.3,103881
15975,223225,2014824,493,2229138,545,8787,36,111801
16020,223225,1957620,440,2162118,486,8945,36.1,101360
20797,223226,328115,33,2497992,256,9146,37.7,114994
20732,223226,334779,34,3024907,312,9204,36.6,112652
19387,123232,1486758,175,2208480,260,8088,60.1,17005
19548,123248,2988384,319,2262233,242,8221,59.8,38599
21178,123258,2727060,279,4585811,470,8496,35.6,124273
21043,221219,2665627,263,3272570,323,8293,39.6,207697
21094,221219,2550869,249,3218201,315,8893,47,171612
20882,221219,1786323,240,2326670,313,8834,49.5,175534
20634,221219,2622834,266,3282112,333,9159,49.8,177275
20575,221219,2560589,264,3262880,336,8987,46.7,212394
20568,221219,2526242,259,3257496,335,8538,48.6,186675
20005,221218,3132359,348,3179503,353,8406,40.4,136920
20664,221218,2480699,257,3273449,339,8701,45.7,107579
21035,221218,2389332,237,3262505,323,9165,45.7,111006
20802,221218,2404782,243,3297340,333,8998,47.4,110280
19975,223331,1793904,191,2743100,292,8340,44.5,115923
20714,223331,1972278,195,3017720,298,8324,42,118286
20589,223331,1911420,190,2885020,287,8250,42.2,116152
22636,223331,2212056,184,3288240,274,8379,40.9,93175
23450,223331,2178834,170,335620,26,8168,41,75356
21922,223331,2870658,257,3566008,319,8244,38.5,52145
20908,223331,2629998,253,3338620,322,8301,40.6,43075
20558,223331,2696778,273,3205240,324,8322,39.8,62412
19497,223331,2477412,277,2909760,325,8048,39,85988
18910,223331,2338938,309,2696580,356,8250,40.1,132485
20358,123353,2006844,208,1302002,135,7653,42.6,34275
20453,123382,0,0,4488743,492,8369,35.7,229088
20845,123383,3124842,326,3610374,377,8856,36.9,213877
18806,123384,2629494,341,1782092,231,9213,49.2,41429
21113,223106,1194186,124,2450540,255,7731,34.9,57118
20536,223394,2903250,300,3278163,338,8444,50,77800
21274,223394,2752344,264,3524815,339,8993,49,97821
21345,223394,2800980,266,3537924,336,8648,49,88678
20091,220036,2590140,283,3042429,332,10261,49,94708
20141,220036,2839074,300,2981808,315,8410,49,85849
19968,220036,2740374,291,3104250,330,8322,45,141826
20327,123460,913752,96,2588820,274,7840,39.1,88490
20429,123461,1875384,199,2536540,269,8007,36.3,67351
20660,123519,2039142,212,2813157,293,8493,29.2,89923
20710,123520,2288538,237,2800786,290,7989,31.7,107675
21450,123603,2237130,222,2738557,272,7782,30.8,135711
21732,123604,2301516,241,2794090,293,8166,30.7,105391
20332,123605,1949052,215,2841074,314,7831,31,117637
20975,123606,2179590,226,2710461,281,8240,30.8,100605
20645,123607,1490328,161,1170907,126,8434,50.8,45909
19369,123676,2241834,266,1290363,153,7744,51.7,13150
19711,123685,1748040,198,1322597,149,8017,49.8,22167
20624,123699,727566,79,2261580,247,8268,34.8,108144
20684,123725,1713264,189,1938018,214,9000,30.4,88103
21190,123726,1663956,174,1930574,202,8476,30.6,66103
20275,123743,1876686,199,3234689,343,9433,42.2,30049
20877,123778,2145064,215,2706491,271,8643,48.8,115739
21543,123783,2292570,231,2848359,287,8296,31,117057
21621,123784,2244312,221,2837706,280,7545,31.8,127512
21088,123785,2117640,221,2886175,302,8331,30.3,128490
20955,123786,2037294,195,2866491,275,7980,30.5,135964
21496,223787,3201450,310,3144431,305,8613,45,134949
20910,123802,1315188,154,1890482,221,8038,34.7,290000
19342,123845,1851612,224,1307563,158,7938,46.8,53850
20091,219806,2396226,258,3215141,346,8007,37,60541
20740,219806,2484552,250,3361599,339,8816,40,87385
20689,219806,2422308,245,3379957,342,7718,37,89516
21126,219805,2583420,257,3477137,346,7659,42,96033
21032,219805,2574348,254,3440530,340,8384,39,58311
19766,123932,2421342,286,4364350,517,8041,51,68783
19485,123948,3160584,379,3627020,435,9081,36.3,118449
19800,123950,3339084,383,3650848,419,9033,36.4,124660
19417,123951,3478650,409,3934265,462,8681,37.1,115008
19454,123952,3216990,394,3513776,430,9244,35,86252
19279,123953,3362898,401,3781571,451,8637,37,105052
20627,123980,1902936,201,2382720,251,7927,38.8,51016
19997,220114,2504250,267,3204240,342,8623,63,67937
20077,220114,3144708,324,3203681,330,8329,52,108500
18900,224056,3373944,429,3475976,442,8806,36.4,127692
19775,224056,3235554,379,3333156,390,8901,35.3,71958
20285,124060,1645938,186,2646079,299,8375,31,42301
20380,124061,2327010,265,2683571,305,8328,31,12246
20250,224071,1850856,195,3201560,338,8456,41.3,33953
20525,124075,1865052,195,2473990,259,8253,36.2,71902
20831,124082,843066,86,1389840,142,7913,36,67734
21024,124083,870828,86,1429240,142,8139,34.9,70574
20608,219805,2481360,253,3398376,347,8382,36,71382
19786,219696,2434110,263,3062069,331,8638,55,37335
19995,219696,2614416,288,3007345,331,8569,46,77070
20034,219696,2614122,284,3049300,331,8584,47,82938
20789,124133,1687728,183,1952441,212,8620,30.5,85938
20534,124134,1663116,187,1884845,212,8373,30.5,78828
20790,221253,3203802,329,3069271,315,8007,42,158453
20650,224206,1992858,199,3044420,305,8571,40.9,96253
20658,224206,1992018,200,3067400,308,8636,38.5,97645
20640,224208,2042460,207,3063700,311,8583,45.3,116195
20625,224208,2034144,204,3057420,307,8815,45.2,100396
19984,124210,1650306,185,1289718,145,8166,39.5,23836
20090,124219,1876308,199,2519220,267,7959,36.9,78642
21093,224223,2249898,238,2819196,298,8005,31,153516
21032,224223,2206428,229,2835090,295,7947,30.9,212829
21189,224223,2662506,281,2775596,293,8551,28.6,112844
20477,416647,1495724.686,261.3447352,2396228.582,398.0258065,7487.864881,38.93105295,119060
22115,416647,1273738.822,241.2756729,1913569.447,351.0267081,7266.925776,39.78046584,197858
21851,416647,1318188.188,220.8116863,2233860.783,337.8919164,7521.847714,38.82372591,136278
21195,224223,2228478,229,2732199,281,7951,30.8,110192
20999,224223,2175012,228,2692306,283,8031,31,148866
21080,224223,2264346,238,2838068,298,8297,30.5,90595
20988,224223,2355486,247,2830120,297,8263,31.6,99374
21168,224223,2237718,233,2681117,279,8197,30.9,94635
21346,224297,3184776,331,4430629,461,9253,40.1,117261
21215,224297,3901464,421,3569998,385,9248,37.8,84266
21123,224297,3793986,397,4492868,470,9884,48.7,107499
20704,124304,1140090,118,2490220,258,8027,34.1,58343
20785,124305,1907556,197,2713180,281,7967,33.8,66533
21018,224306,1276128,135,4344227,460,9041,36.5,102896
20922,224306,3445512,368,3953931,422,9129,34.7,65549
18787,124309,1347696,174,2011540,260,77961,37.7,46846
20921,224306,2743902,287,3598637,377,8946,35.8,136307
20558,224338,0,0,3775100,406,9549,79,231539
20593,224338,8613318,919,4346020,464,9990,74.3,229673
21045,224223,2448012,260,2545306,270,8932,31.2,87657
20181,224366,2016840,204,3098660,314,8185,40.8,117405
20034,224366,2115162,216,2911780,298,8686,40.5,75697
20700,124379,1384236,143,2125240,220,7532,37,41401
21547,224398,2134650,211,3184620,314,9364,40.4,123951
21420,224398,2106678,208,3028120,300,8664,40.5,114168
21183,224398,2024022,203,3062760,307,9315,40.4,143160
21316,224398,2256534,225,3478700,347,8691,37.5,138729
19960,124429,1282764,142,2017660,223,7283,36.3,54731
22770,124431,2133390,213,1731929,173,8344,23.7,140669
20837,224223,2174592,229,27141147,2865,7606,30.9,184275
20838,224223,2203488,238,2735348,296,8368,30.7,112207
20940,124467,1430142,152,2070680,220,8647,43.8,91719
19565,416647,2025702,247,3351440,409,7664,40,114246
20148,416647,2363718,284,3349870,403,7657,40,112753
21463,124545,1557108,159,2984200,305,7541,33.4,11375
20020,124652,4308024,481,3459128,386,8062,47.9,65862
19700,124653,2517060,288,1845227,211,9134,57.5,35713
20305,124692,1702218,178,3206760,336,8478,42,50410
20847,124693,2365146,240,1817338,184,8153,46.1,58022
20624,124694,2345826,246,1810218,190,8136,52.3,40157
25437,124705,2583126,186,2035263,147,8333,53.1,55117
19228,124708,1192506,138,2248080,260,7927,45.7,16513
16265,124734,1215816,264,1235890,269,6697,30.9,123191
16118,124735,1110396,239,1179895,253,7241,30.6,117113
20570,124763,5381628,536,10052791,1001,8897,37.2,147200
19860,224764,5088552,545,9234710,990,9004,36.6,129027
19885,224764,5321232,569,9253568,989,8809,37.8,142287
21118,124783,1983996,212,2040673,219,9146,30,105548
20865,124784,1766058,192,2007785,218,8030,28.5,120025
21207,124785,1686804,179,2051142,217,8503,29,128954
21528,224798,1060752,108,2972800,305,7832,40.7,153207
20753,124835,2195760,225,2829564,290,7501,30.6,96549
21028,124836,2173164,221,2787188,283,7950,31.6,81916
21290,124839,3576930,352,2995122,294,8423,41.8,100424
22090,224850,2471406,252,2685940,274,8428,38.6,65295
22445,224850,2563260,256,3026420,302,8169,38.4,67644
21200,124864,2283582,229,2960909,297,8086,45,110762
20918,416647,2171316,233,3349460,360,7756,41,151311
20047,124926,2099874,232,1363503,151,8571,48.9,33785
19722,124939,1955184,224,1896411,217,7786,46.3,48400
20147,124972,1131354,120,2517290,267,8007,38,73105
20990,124973,1182510,119,2565920,258,7905,35.7,105717
20259,124974,1161888,121,2568110,267,7960,35,69202
20838,125033,1681008,175,2055522,214,8242,33.3,56578
20714,125034,1604316,170,2051979,217,8673,30.9,80634
19951,125075,4541628,549,1308888,158,8365,39,48833
21110,125076,2585100,273,1885863,199,8978,37.6,47757
20420,225106,1362144,143,1311680,138,7991,39.2,87384
20716,225106,2361534,247,1836680,192,7963,40.7,84862
20779,125113,1665552,167,1425560,143,7871,34.3,74291
20203,216704,1179906,124,2385960,251,8219,35.3,99341
20147,216704,1817424,196,2367840,255,8004,31.7,74274
20513,125138,2497362,269,2116310,228,8786,37.9,59917
19671,125142,4233852,506,7966588,952,9054,39.6,137712
18884,125143,1104125,144,7406828,967,8889,44.4,124883
20545,125256,1173018,124,1421300,151,8088,38.9,80452
20907,225275,1138872,115,2585180,261,8146,28.6,111235
20325,125287,3866814,410,3860820,409,9044,32,115226
20346,125288,3709398,393,3759040,399,8923,36.8,123054
20860,125289,3546102,378,3540710,377,9049,36,90115
19445,125290,3087000,361,3230350,377,9300,37.9,69131
20578,125299,2583378,277,2708884,291,8528,42,108842
20755,125300,2973726,313,2752253,290,8811,42,53467
20800,125303,320208,35,261459,29,8730,25.4,12603
20540,216451,1940988,209,1371640,147,8153,40.3,75300
20343,216451,1909782,209,1381120,151,8167,45.3,88268
20670,225275,1970052,208,2179651,230,8018,33.8,48001
20505,225275,1056048,111,2470590,261,8106,28.9,99633
20411,125364,2724540,307,2561548,289,8312,37.7,76487
21300,125365,2545116,262,23262167,2401,9117,41.2,93961
21485,125366,2642850,273,2207069,228,8691,50.5,34114
21590,125367,2525880,258,2429555,248,8450,41.1,76261
20803,221343,1637118,182,1380540,153,7928,41.4,62321
17485,225406,1766058,249,1937720,273,8963,36.1,45178
16738,225406,1873116,287,2243940,344,7378,33,83049
20383,125450,1890546,200,2700490,286,8738,30.8,45488
21140,225484,837186,85,1939500,197,7978,35.8,130709
20095,225484,792792,85,2433300,262,7551,41,107181
21155,225484,1962618,202,2235160,231,8142,32.5,77183
20100,225484,1863288,204,2083260,229,8157,35.6,56198
20939,125641,1205316,124,1552465,159,8034,22.7,34006
20279,125642,2677374,295,2348068,259,8316,48.8,51991
21206,125708,2652426,273,2403360,247,8173,46.7,101292
20437,218343,3148236,341,2455098,266,8263,52.9,50691
21123,125710,2485980,255,2187807,224,7371,38.8,80262
20206,125721,2281902,248,2409220,262,8581,39,98611
20840,225760,1875888,195,1355520,141,8306,32.8,69171
20742,225760,2667084,282,2245420,237,8187,38.1,81809
21212,125872,1513806,316,930680,194,8806,36.4,67976
21340,125939,1762908,176,2076688,207,8741,30,72472
20668,126357,880488,93,1874092,200,8358,40.6,38991
19912,126366,2426718,278,2028890,232,8057,48.9,26238
20551,126370,2327430,248,1902343,202,8317,35.1,40907
19528,126538,2103276,256,1744689,213,8115,46.4,49146
20161,126673,2480898,289,1856842,216,8046,46.7,36409
20396,126678,2303070,258,1883592,211,8069,46.8,47305
20485,118451,1709148,181,2797820,296,8549,40.8,106596
20867,218469,2289252,228,3523690,352,8795,44.9,79536
21394,120421,1218000,119,2025560,199,8502,41.6,113087
18970,120763,1651356,217,2192730,289,9260,31.6,90318
19910,125151,1764084,210,1921540,229,8139,46.8,50835
20200,117182,524042.0343,172.2473233,829066.4632,262.3754461,7194.250535,31.82273376,143171
20399,117393,487361.4789,165.9345386,805996.7275,273.8339832,7975.161172,39.38990902,171776
20803,117433,1866900,199,2017676,215,8500,46,91286
15285,117461,908628,216,1081945,257,8500,40.2,10530
16141,117483,1015770,188,1352020,250,7392,41.1,14003
15797,117625,1229466,240,909987,177,6868,38,75499
20856,217629,1619478,173,1573360,168,8855,71,73239
15365,117668,1062516,204,786657,151,7833,47,137776
15077,117703,780024,198,238993,60,7808,40,79366
20545,117733,1496523,160,1845855,197,8500,50,135298
20475,117742,707640,70,512190,51,9300,50,61193
15416,117743,1276128,295,1027444,237,8569,38,36777
20218,117770,1620738,178,1652880,182,8300,45,64909
15472,117859,1500702,323,1024951,220,7387,33.6,74098
20040,117889,591331,60,199080,20,9350,50,52453
15269,117918,1176000,255,1734200,376,10000,35,59900
19900,117924,804636,94,964485,113,8307,36.1,55304
19456,117952,1237866,151,630400,76,8332,82.3,78770
20300,117965,1771686,198,2056542,230,8500,42,51488
17830,117986,1199390,201,983494,165,9379,45,69341
20340,118013,672840,73,378000,41,9300,50,81518
20024,118020,275035.5452,244.3360955,406557.2851,355.3964203,5511.000994,37.42936692,268100
19748,118047,517951.2125,192.5734481,1027952.953,358.7443147,8425.23823,50.41155501,144444
16940,118111,1278606,219,1194267,205,7883,36.4,106654
20573,222302,857892,95,807257,90,9351,45,45631
20175,118126,1574874,162,1270602,131,8680,43,82572
19918,118134,879774,96,930249,102,9948,49,28707
20196,118137,686040,76,372540,41,9300,50,93827
20520,118138,1443382,154,1988940,212,9300,50,114517
20018,118173,987336,108,918214,100,8140,53,25339
20300,118201,1398810,148,733639,77,8009,35.9,186876
16880,118249,1475082,279,1693030,321,8328,46.7,80531
15968,218281,1011915,236,886635,206,9183,41.8,40156
20046,118308,1940190,213,1484216,163,9933,45,138605
18929,118330,894306,106,769485,91,8469,47,34247
20266,118333,2047332,213,2393287,249,8688,62,60506
20994,118336,475744.4282,157.7736212,723721.8299,241.4815092,7166.706926,41.25802693,267254
20075,118379,1759926,197,1160064,129,8804,42,125910
20550,118380,1097796,324,2688340,795,8440,64.6,187288
15853,118387,1314096,273,1064758,221,8024,32,62753
19982,118388,1836072,204,1412620,157,9076,42,61539
19738,118404,1640688,186,1384925,157,7939,43,94795
14970,118414,113400,26,1711000,398,10000,40,100339
20309,118417,582414,74,675588,86,6729,49,6068
20298,218436,1267266,142,1306460,146,8670,51,129000
19620,218437,1815912,216,317915,37,8414,45,110394
21875,118441,1967868,211,1894114,203,8936,61,59146
19950,118442,492261.4265,179.9381123,715672.2955,261.3569892,7128.733692,40.79152927,259253
20210,118446,3384528,379,2561460,287,8993,37,162970
20595,118472,1452006,159,1864033,204,8500,50,54958
15120,118487,964992,224,1858220,433,7830,30,65214
20428,118521,563673.203,207.7684688,706237.0526,252.6627282,8144.113379,41.66598639,253145
20150,118522,3010182,338,3580200,403,9475,46.6,104527
14714,118525,31003,3,2945305,378,7200,35,106358
18991,118527,1077174,129,855000,102,8888,46,64632
21122,118541,1996554,226,2627059,297,8213,40.7,56666
21320,118542,2087022,207,2623454,261,8500,41.8,80864
20652,118543,2110458,222,2598359,273,8100,42,86650
20850,218579,2627310,271,2165760,223,8715,50.8,193822
20180,118580,1350888,144,1414577,150,7903,50,46713
20340,118584,1869420,203,1964216,213,8345,42.3,48573
19797,118587,2991030,331,3739600,415,9375,42.1,99148
16765,118594,1218882,279,1021369,234,9378,31,89283
20320,118601,2932314,321,3680820,403,9211,48,104210
20190,118624,1844430,203,2200414,242,8500,37.5,136116
15565,118641,1197000,291,1800000,439,10000,40,66492
21039,118642,2432094,256,2794451,294,6950,30.7,95098
20224,118645,1710492,182,2051611,219,8756,48,21942
20440,118651,1732019,191,2122024,234,9807,42.8,138735
20115,118653,2415420,266,3882620,427,9494,60,93098
20163,118655,1830570,203,1966234,218,9552,42.4,75846
19933,118662,463208.242,170.5466013,708239.368,259.4241274,7729.386038,40.98084507,231208
13526,118678,2514498,852,948438,321,7266,31.5,75457
20600,118690,2085384,230,2091291,230,10816,41.1,116124
16012,217345,1619520,305,2228638,421,8498,31,189962
20251,118695,2301936,256,2082432,232,9774,51,44391
17207,118698,1718388,228,1402737,186,9405,54.2,56135
20735,118708,824927.8441,166.8897114,1093329.403,231.61399,8310.977338,35.15038525,90516
20617,230048,1749090,186,1822788,194,8829,53,178098
15728,118741,1314600,302,1768000,406,10000,40,60920
20632,118756,3081918,340,3533512,390,9920,43,101405
20400,118768,482736.5259,173.6130351,776744.94,267.6847962,7648.415465,46.25849892,156092
20513,118786,514857.8938,98.54541466,516543.5165,101.2150066,9581.20272,36.30530935,20218
17995,118787,1990296,273,3010967,414,8600,34,58042
20872,118798,642852,120,1050548,197,8084,32.2,117474
19467,218803,1561308,189,1655746,201,8581,38.6,136715
20860,118805,1873116,195,1983932,207,10146,52.2,80029
20122,218815,2138010,220,2509265,259,8886,51.3,118984
20200,218815,2111256,239,2499875,283,8415,52.4,101553
20350,218815,2075220,210,2468762,250,8632,50.9,91783
20987,118841,952238.8707,316.2816187,1457053.025,390.5211159,8088.666115,45.43644283,127359
21000,118868,3677184,370,4977900,501,9679,49.6,139072
20445,118911,1900584,204,2215159,238,4410,41.9,86812
20812,118916,2473632,246,3760795,374,8101,39.8,111892
20300,118923,1360590,156,1589380,182,8978,36.4,50240
18605,118939,1423464,196,2556043,353,9336,30.7,39984
19258,118942,240591.5951,215.3409193,307333.6363,235.9980536,7672.994311,46.84256625,70664
20895,118946,2137086,221,2627546,272,8326,42,80066
20255,118949,1502340,197,2295860,302,8539,31.4,56319
21610,218957,2928744,278,3432200,326,8819,51.5,92133
14820,118972,1148070,309,1499249,404,7834,30.1,4057
20825,118980,1532622,163,2244469,239,9770,33.7,168457
20530,118983,2029986,217,2504101,267,8330,42,108893
20273,118984,1976016,213,2488883,269,8440,42.1,103849
21059,119001,2649948,240,2890530,261,9570,46.3,75670
16457,119004,1496292,328,1091472,239,5274,29.4,75908
15711,119026,1239000,298,1800000,434,9300,45,51677
21006,218579,2681910,274,1951589,199,9347,52.5,148927
20843,119054,1874628,226,2215761,267,8700,36.1,68422
19940,119061,1431804,156,2347220,257,9946,43,75825
21016,119083,1979040,204,2478636,255,8220,34.9,80170
15175,119089,1535100,340,1923000,427,9300,30,101555
14685,119096,1129800,303,179600,48,9300,30,94911
20265,119102,202960.1075,122.9954197,519661.2556,258.3862342,8378.174548,43.79540728,188400
21015,119110,2520210,292,3460000,402,9300,30,127722
20940,119112,2637264,278,3828000,404,9300,40,106897
20965,119126,3009300,317,2784678,293,8400,41.6,122137
20910,119128,2039940,200,2417824,238,8546,53,72689
21143,119129,652840.9421,254.0513714,960666.9212,354.9921637,9147.572486,39.69011754,177441
20465,119154,402755.8895,203.6132296,620098.5886,312.923476,8315.792477,44.42818418,185574
16416,219157,1608558,336,2131346,445,8232,28,111624
20970,119161,2439990,260,2310163,246,8417,43,40875
16235,223064,1789326,376,2075058,436,5111,29.7,108170
20625,119178,509418,160,606791,191,7700,32,146565
20930,119179,2940000,313,3759000,401,10000,35,131359
20540,119219,2927862,329,2685768,302,9050,37.1,76032
21341,119230,1047816,102,3218980,314,8252,40.1,89795
22825,119251,1179444,97,3430769,285,8981,51.6,54347
21351,119260,1186038,124,2805040,294,8780,30,30021
15509,119268,1109136,260,1232608,289,7808,41.8,18838
20370,119270,3059994,353,3488883,403,9202,46.3,90491
22034,219273,2828238,271,2622967,252,8943,62,75931
15870,218281,1197168,30696,1250959,32075,8488,36.5,59389
20702,119279,2029314,212,2533549,265,7828,45.5,138413
20734,119280,2732898,286,3224668,338,8738,56,145017
20600,219283,647112.4324,262.1207915,796087.847,326.0767868,8374.979622,37.89196692,132980
21067,219283,1692978,175,2293900,238,9271,41.3,132844
20547,219283,3685206,387,2324130,244,9581,48,101112
20925,219283,1658832,177,2192065,234,8811,42.5,74866
20577,119288,828198,148,1510100,271,8760,35.5,67172
19546,119295,1959006,235,2021276,242,7653,31.3,51597
20670,219301,3049200,361,3658042,433,8788,38.4,160789
20789,219303,2421468,266,2646476,291,8000,41.6,86402
20480,119305,1563156,148,2991800,284,8562,31.5,98068
20548,119323,3440850,366,3285650,349,8338,38.5,262305
20670,119324,2898252,299,3233405,334,9000,51.3,79004
16075,119341,1658454,407,2126374,522,9608,30.6,79749
21068,119350,2534532,274,2347297,254,9182,43.7,116717
20755,119357,2140152,228,2609731,278,8500,43.1,64547
20516,119359,426132,45,674292,71,9100,34.9,25706
20195,119369,3482010,381,4559580,499,8986,47.1,121558
20808,119376,2098698,218,2105702,218,8763,53,99706
20727,226227,3477726,379,3084129,336,10211,37.6,140929
20870,119380,2537808,263,2782395,288,8450,41.2,87100
21231,119388,2680062,270,2850842,287,8288,37.8,106151
20815,119390,1852767,192.5,1589924.5,165,8679,42.85,7642
20333,119410,1716120,200,1421320,165,8140,32.1,57483
15700,119426,1413216,340,1825200,440,9330,28.4,79064
20130,119433,1931706,229,2945305,349,8801,32,102591
21475,119434,1566138,159,2941200,300,8298,32,107707
21074,119437,700813.9335,290.7127622,1062328.163,417.533594,7989.782972,49.99532528,192091
