DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm, RHOfluid,PHI,LFC
2105.7595,2311.6,938.6,2.2503,85.2641,0.4108,2.24345499999998,1.0,1.0,2.46281696143192,5185.97057799994,2105.70686299998,0.418580483549097,2.71697287736786,1.09,0.291042268715595,0.0
2105.9121,2292.8,920.6,2.228,89.665,0.41,2.227879,1.0,1.0,2.49054964153813,5108.0809712,2050.9854074,0.468508952953176,2.72496143247251,1.09,0.304033124329289,0.0
2106.0645,2284.8,901.3,2.2273,91.6857,0.4332,2.22829,1.0,1.0,2.53500499278819,5091.196992,2008.357777,0.491433913330558,2.72862942613289,1.09,0.305340193550456,0.0
2106.2168,2292.0,896.9,2.2306,95.642,0.4445,2.22948799999998,1.0,1.0,2.55546883710559,5109.98649599994,1999.62778719998,0.536318369578905,2.73581093913262,1.09,0.30764344013869,0.0
2106.3691,2303.7,895.8,2.2218,94.3688,0.4488,2.21681750000002,1.0,1.0,2.57166778298727,5106.88247475004,1985.82511650002,0.521873840676801,2.73349981450829,1.09,0.314379295906921,0.0
2106.5215,2316.1,890.6,2.2072,93.3062,0.4254,2.20506500000001,1.0,0.983406434668518,2.60060633280934,5107.15104650003,1963.83088900001,0.509818581164253,2.73157097298628,1.09,0.320732993973735,0.0
2106.6741,2318.1,890.6,2.1976,90.2965,0.4219,2.20244600000001,1.0,0.964685039370164,2.60285200988098,5105.49007260002,1961.49840760001,0.475673357604196,2.72610773721667,1.09,0.320065558828973,0.0
2106.8264,2322.9,895.2,2.2096,93.1687,0.4137,2.21158399999999,1.0,1.0,2.59483914209115,5137.28847359997,1979.80999679999,0.508258635575155,2.73132138169202,1.09,0.316657899841801,0.0
2106.9788,2323.6,900.4,2.2165,100.457,0.43,2.22269799999999,1.0,0.982055045871629,2.58063083074189,5164.66107279997,2001.31727919999,0.590944827844405,2.74455117245511,1.09,0.315404673571242,0.0
2107.1311,2322.2,900.6,2.2332,107.6881,0.4209,2.23890900000003,1.0,0.947188976377959,2.57850322007551,5199.19447980008,2016.36144540003,0.67298208274859,2.75767713323977,1.09,0.311072283057534,0.0
2107.2837,2329.9,914.6,2.252,108.2494,0.4366,2.2557665,1.0,0.968739330269195,2.54745243822436,5255.71036835,2063.1240409,0.679350064269758,2.75869601028316,1.09,0.301390730956334,0.0
2107.436,2337.4,914.6,2.261,108.6079,0.4308,2.25523999999998,1.0,1.0,2.55565274436912,5271.39797599997,2062.64250399999,0.683417267860242,2.75934676285764,1.09,0.301978458924081,0.0
2107.5884,2340.4,923.0,2.2453,108.9983,0.428,2.244558,1.0,1.0,2.53564463705309,5253.1635432,2071.727034,0.687846378827397,2.76005542061238,1.09,0.308670846637748,0.0
2107.7407,2335.5,939.4,2.2439,109.4286,0.4195,2.242779,1.0,1.0,2.486161379604,5238.01035450001,2106.8665926,0.692728157641861,2.7608365052227,1.09,0.310058766135017,0.0
2107.8933,2336.7,913.6,2.2407,106.1826,0.4103,2.2442655,1.0,1.0,2.55768388791594,5244.17519385001,2050.3609608,0.655902096680322,2.75494433546885,1.09,0.306724269748658,0.0
2108.0457,2320.7,923.1,2.248,100.0803,0.4388,2.25348400000002,1.0,1.0,2.51402881594627,5229.66031880005,2080.19108040002,0.586671144183218,2.74386738306931,1.09,0.296507076739866,0.0
2108.198,2311.4,913.5,2.2604,92.2342,0.4349,2.26147,1.0,1.0,2.53026819923372,5227.16175799999,2065.852845,0.497656678098704,2.72962506849579,1.09,0.285525683579165,0.0
2108.3503,2307.9,913.5,2.2634,90.3316,0.4382,2.260485,1.0,1.0,2.5264367816092,5216.97333150001,2064.9530475,0.476071569169122,2.72617145106706,1.09,0.284619592135867,0.0
2108.5027,2310.3,916.2,2.2585,94.1916,0.4356,2.2482435,1.0,1.0,2.52161100196464,5194.11695805,2059.8406947,0.51986349625216,2.73317815940035,1.09,0.295119951921292,0.0
2108.6553,2308.1,910.6,2.2387,101.6368,0.4364,2.236235,1.0,1.0,2.53470239402592,5161.45400350001,2036.315591,0.604329728251806,2.74669275652029,1.09,0.308118541902995,0.0
2108.8076,2303.9,911.9,2.2286,107.201,0.4377,2.229,1.0,0.983338148391295,2.52648316701393,5135.3931,2032.6251,0.667455904592593,2.75679294473481,1.09,0.316651775136225,0.0
2108.96,2293.7,897.9,2.2286,109.5794,0.4205,2.2308,1.0,0.964663171690735,2.55451609310614,5116.78596,2003.03532,0.694438992513396,2.76111023880214,1.09,0.317340069187938,0.0
2109.1123,2287.7,897.9,2.2349,111.1255,0.4118,2.23401600000001,1.0,1.0,2.54783383450273,5110.75840320002,2005.92296640001,0.711979587970153,2.76391673407522,1.09,0.31656337695194,0.0
2109.2649,2285.9,894.9,2.2268,106.675,0.4076,2.2273245,1.0,1.0,2.55436361604649,5091.44107455,1993.23269505,0.661488403648117,2.7558381445837,1.09,0.317265903834718,0.0
2109.4172,2286.5,895.1,2.2276,105.8137,0.421,2.22662400000002,1.0,1.0,2.55446318847056,5091.17577600004,1993.05114240002,0.651716904478008,2.75427470471648,1.09,0.317045439206115,0.0
2109.5696,2291.1,881.7,2.2199,104.113,0.4483,2.220348,1.0,0.987520000000005,2.59850289214018,5087.0393028,1957.6808316,0.632422362926163,2.75118757806819,1.09,0.319554266523896,0.0
2109.7219,2304.5,889.1,2.2209,105.796,0.4501,2.221876,1.0,0.960043307086612,2.59194691260826,5120.31324200001,1975.4699516,0.651516096936721,2.75424257550988,1.09,0.319885203842216,0.0
2109.8745,2304.9,889.4,2.225,107.8853,0.4461,2.22835249999999,1.0,0.971457649376222,2.59152237463459,5136.12967724998,1981.89671349999,0.675219328349827,2.75803509253597,1.09,0.317548830301098,0.0
2110.0269,2306.6,889.4,2.2344,104.3934,0.4234,2.234269,1.0,1.0,2.59343377557904,5153.5648754,1987.1588486,0.63560351742204,2.75169656278753,1.09,0.311385107470845,0.0
2110.1792,2309.3,884.1,2.2352,104.0284,0.4225,2.234604,1.0,1.0,2.61203483768804,5160.3710172,1975.6133964,0.631462570949162,2.75103401135186,1.09,0.310908751911443,0.0
2110.3315,2300.9,875.3,2.234,101.1434,0.4188,2.23179500000003,1.0,1.0,2.62869873186336,5135.13711550006,1953.49016350002,0.598732076225181,2.74579713219603,1.09,0.310425789610046,0.0
2110.4839,2275.5,867.1,2.2267,104.3623,0.4155,2.23161450000001,1.0,1.0,2.62426479068158,5078.03879475002,1935.03293295001,0.635250686092433,2.75164010977479,1.09,0.312959230290404,0.0
2110.6365,2269.5,864.2,2.2384,104.7472,0.4183,2.24055500000001,1.0,1.0,2.62612821106225,5084.93957250003,1936.28763100001,0.639617399236024,2.75233878387776,1.09,0.307869724776501,0.0
